Activity UUID_Product UUID,Activity Name,Geography,Reference Product Name,lca_geo
42ef687a-8f78-56ac-aaea-acedc2991cb3_118a9202-6b68-44aa-82b5-2c2bf5bc02cf,"acetic acid production, butane oxidation",RoW,formic acid,row
42ef687a-8f78-56ac-aaea-acedc2991cb3_bd9f3f8b-c561-4604-b683-4e53f704bd02,"acetic acid production, butane oxidation",RoW,methyl acetate,row
42ef687a-8f78-56ac-aaea-acedc2991cb3_86e1bf02-e86a-479b-9051-710271dbd745,"acetic acid production, butane oxidation",RoW,methyl ethyl ketone,row
039219d0-9522-5c4b-a88d-31b59fa13bec_e36aa595-9fc6-4eff-8f34-a9b11f460762,"acetic acid production, butane oxidation",RER,"acetic acid, without water, in 98% solution state",rer
039219d0-9522-5c4b-a88d-31b59fa13bec_15e08bcb-75e0-4f45-ab47-d6ddff721ebc,"acetic acid production, butane oxidation",RER,"acetone, liquid",rer
039219d0-9522-5c4b-a88d-31b59fa13bec_1a71f77c-edaa-4365-a192-f54ac538d033,"acetic acid production, butane oxidation",RER,ethyl acetate,rer
039219d0-9522-5c4b-a88d-31b59fa13bec_118a9202-6b68-44aa-82b5-2c2bf5bc02cf,"acetic acid production, butane oxidation",RER,formic acid,rer
039219d0-9522-5c4b-a88d-31b59fa13bec_bd9f3f8b-c561-4604-b683-4e53f704bd02,"acetic acid production, butane oxidation",RER,methyl acetate,rer
039219d0-9522-5c4b-a88d-31b59fa13bec_86e1bf02-e86a-479b-9051-710271dbd745,"acetic acid production, butane oxidation",RER,methyl ethyl ketone,rer
fe454a13-c410-5d55-8209-f7ad1eab4cdd_e36aa595-9fc6-4eff-8f34-a9b11f460762,"acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state",RoW,"acetic acid, without water, in 98% solution state",row
fe454a13-c410-5d55-8209-f7ad1eab4cdd_93325850-98a2-49a1-be7c-1ccf715f38ce,"acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state",RoW,propionic acid,row
c5568804-105e-5d79-8b1d-17851d4a77d1_e36aa595-9fc6-4eff-8f34-a9b11f460762,"acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state",RER,"acetic acid, without water, in 98% solution state",rer
c5568804-105e-5d79-8b1d-17851d4a77d1_93325850-98a2-49a1-be7c-1ccf715f38ce,"acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state",RER,propionic acid,rer
3bc76187-9698-549c-a20f-0661dd42bca7_e36aa595-9fc6-4eff-8f34-a9b11f460762,"acetic anhydride production, acetaldehyde oxidation",RoW,"acetic acid, without water, in 98% solution state",row
3bc76187-9698-549c-a20f-0661dd42bca7_50a418df-9ef8-4a99-8bea-4f9b4ea88acb,"acetic anhydride production, acetaldehyde oxidation",RoW,acetic anhydride,row
85fd0ee5-ea9a-5e6a-9b69-bf22573ee3c8_e36aa595-9fc6-4eff-8f34-a9b11f460762,"acetic anhydride production, acetaldehyde oxidation",RER,"acetic acid, without water, in 98% solution state",rer
85fd0ee5-ea9a-5e6a-9b69-bf22573ee3c8_50a418df-9ef8-4a99-8bea-4f9b4ea88acb,"acetic anhydride production, acetaldehyde oxidation",RER,acetic anhydride,rer
db3626d3-b54d-5d8a-84a7-ad8f1f999188_50a418df-9ef8-4a99-8bea-4f9b4ea88acb,"acetic anhydride production, acetic acid pyrolysis, via ketene intermediate",RoW,acetic anhydride,row
84fb2eba-74f3-54ad-bb57-3116a0e3e130_50a418df-9ef8-4a99-8bea-4f9b4ea88acb,"acetic anhydride production, acetic acid pyrolysis, via ketene intermediate",RER,acetic anhydride,rer
6c6bdefb-217e-5e24-9ff9-5319f0b6d47e_dbbb2b50-295a-486a-af82-9da5b08df6b5,acetoacetic acid production,RoW,acetoacetic acid,row
c0676a56-33f1-5247-91fc-b81290ee90c7_dbbb2b50-295a-486a-af82-9da5b08df6b5,acetoacetic acid production,RER,acetoacetic acid,rer
9399d135-d980-5e00-9d77-5225eaba4b15_3b363d31-87f8-483f-9676-ab3221789dca,acetone cyanohydrin production,RoW,acetone cyanohydrin,row
c4f1ccbe-8f9e-5285-8ca1-e6f870ffe3f3_3b363d31-87f8-483f-9676-ab3221789dca,acetone cyanohydrin production,RER,acetone cyanohydrin,rer
c3a88144-0929-5b82-ab7b-b3c794be1c59_15e08bcb-75e0-4f45-ab47-d6ddff721ebc,"acetone production, from isopropanol",RoW,"acetone, liquid",row
a36170b1-72b7-59ff-a904-c8dbafe7a42f_15e08bcb-75e0-4f45-ab47-d6ddff721ebc,"acetone production, from isopropanol",RER,"acetone, liquid",rer
7d40b4dc-ca46-578a-aec9-814b3f30be47_c52e25ea-33ba-4df1-8f49-e5f6a7f7c7a7,acetonitrile to generic market for solvent for chromatography analysis,GLO,solvent for chromatography analysis,glo
75e6229d-fd74-5831-adb3-3135aefece4b_b38b6557-fb95-4f02-820c-2902c294998e,acetyl chloride production,RoW,acetyl chloride,row
f7a09ea7-dbdc-5147-a117-733e2fcd855a_b38b6557-fb95-4f02-820c-2902c294998e,acetyl chloride production,RER,acetyl chloride,rer
3a184f67-fc97-59b7-8cb0-a06d8cb9db56_ac271101-169f-43d6-913e-624d1a1b6683,acetylene production,RoW,acetylene,row
8d4861d7-504f-5108-93e2-11e148e3885d_ac271101-169f-43d6-913e-624d1a1b6683,acetylene production,RER,acetylene,rer
c108cd2b-e8f4-5ec9-b46d-e397905e870a_906ace6c-3089-4c95-9ebd-5a396ee84577,aclonifen production,RoW,aclonifen,row
2c42c200-6172-5b31-a43c-fb6ac95448ae_906ace6c-3089-4c95-9ebd-5a396ee84577,aclonifen production,RER,aclonifen,rer
18daf7d9-b977-57f6-8381-aad66529b7e2_41860f12-8b2b-47d9-bffe-966505490bf6,acrolein production,RoW,acrolein,row
95e223b2-8276-5b9c-8ce9-fba214e425f6_41860f12-8b2b-47d9-bffe-966505490bf6,acrolein production,RER,acrolein,rer
3ade7620-18ff-5745-b004-4d812c8b681f_e36aa595-9fc6-4eff-8f34-a9b11f460762,acrylic acid production,RoW,"acetic acid, without water, in 98% solution state",row
3ade7620-18ff-5745-b004-4d812c8b681f_b9d163af-230d-4a54-a9e0-27f894dc8c2a,acrylic acid production,RoW,acrylic acid,row
1f848caf-2e77-5593-a53f-2ab699b1496a_e36aa595-9fc6-4eff-8f34-a9b11f460762,acrylic acid production,RER,"acetic acid, without water, in 98% solution state",rer
1f848caf-2e77-5593-a53f-2ab699b1496a_b9d163af-230d-4a54-a9e0-27f894dc8c2a,acrylic acid production,RER,acrylic acid,rer
4efaecfb-01a7-555e-a150-26893a11b353_79bd7e18-86c4-4aa4-aebe-34fdb546c3bd,"acrylic binder production, with water, in 54% solution state",RoW,"acrylic binder, with water, in 54% solution state",row
2740c3c2-025a-5088-a1db-43f0b6d35c96_79bd7e18-86c4-4aa4-aebe-34fdb546c3bd,"acrylic binder production, with water, in 54% solution state",RER,"acrylic binder, with water, in 54% solution state",rer
e930508e-a347-5321-91ca-ab164cc815ec_dce67266-c173-4a2c-ad18-3838209a083a,"acrylic dispersion production, with water, in 58% solution state",RoW,"acrylic dispersion, with water, in 58% solution state",row
