clustered_id;clustered;is_product;comments;typo_correction;is_activity
afedf3ccf1353f15145f108fb6ff49d2319f18fc;special foundations;0;;;FALSE
b96b8437ad4272b479f4462bc8575074e197bb1b;boring auger;0;;;FALSE
5926b30131dec898e7950eb7169293f637fc94b6;dehydrated ingredients;0;;;FALSE
2e81cf2bd85600902318a830fc9259e85e6aa6f3;compressed air agitators;0;;;FALSE
5239f0617fd4cd643540cf6f5a14896eb3a1aecf;stand-mounted agitators;0;;;FALSE
1f49628f5785e275eec6b2f7419626ccbbabb85c;industrial agitators;0;;;FALSE
5fb4d497c9d6930c2e72a8baa09b3026d4a5200b;barrel agitators;0;;;FALSE
18872415c6a4f90292d5793a1adb1fa048170cc5;cheese factories;0;;;FALSE
646a9a20812b236c56dcd01b46a689647d3f04c9;plastic packaging for speciality foods;0;;;FALSE
df477a56680e53da816c4ff9d7857616e011653e;plastic liquid packaging;0;;;FALSE
5fe7207d9f6fd0ca2fcf49bef19e74a5e01b680f;plastic packaging with barrier properties;0;;;FALSE
9881b53bdb26a1ca8992b655730161b90fbe04c0;customised plastic packaging;0;;;FALSE
e1f05a409017be0ba8a25e4efb1db7f1d62ef69d;hot fill;0;;;FALSE
79a7c0875565ff54f93cb77d76c878b1a3e8012b;pre-fabricated structures to rent;0;;;FALSE
d597de4d369a3d4b053ef074de32dbce7271eaf0;pump rental;0;;;FALSE
ad0fc5aec51291fc21dc5b438b5e1a0876ffedfc;sample preparation;0;;;FALSE
27d8506b9e0ef564149bb497dc8bd1d7dc81ace1;complete plants for the treatment of industrial waste waters;0;;;FALSE
e5d9a17a4e56ff9f14c5f6c0fd544604c6236375;injection applications;0;;;FALSE
9c1c2d0c161306b562290de378df0eefa3bd34f4;automated chip handling;0;;;FALSE
9c7045b6b035334f0b1967524c54831ec08f911f;cnc extraction;0;;;FALSE
cdbc92bac0610bdd79d398a816a471b183b2f3fc;chip logistics;0;;;FALSE
53ef3793ea4c2d3a8d587f94fc81ba843e1f4767;lcd monitor recycling;0;;;FALSE
67bf40b15ae6f1e7ded14b8ec3bcf3e227b69ddf;customised mechanical assemblies;0;;;FALSE
6734075816dd8db3072be4fce9f6364c1c6cd1b7;transport aids for shipping tubes;0;;;FALSE
293b01ed9ad12c93ffba1ef1e99d1127abec3019;boiler plant construction;0;;;FALSE
dc621cffd6418fb29df9ed83aa31b540d5e91cab;handmade jewellery;0;;;FALSE
9e903b3249167fde566f3d780ce18a6157e57066;hollow bodies;0;;;FALSE
3596a06f7dcb96cffb8b0bff2017811b09af9c56;paper dispensers;0;;;FALSE
49924246313884c72b6f3c6aecff6eae9e4a8cd3;barcode signs;0;;;FALSE
f2ccfd773f74037218b5269803deac7be21d2a0a;stainless steel signs;0;;;FALSE
f476e79230575f3c53de60c706a246ea995a4a69;anodic printing;0;;;FALSE
4094f23a7486e319495a7e67ccbe73205f6b4701;film signs;0;;;FALSE
20ccb4f690367d0ed73ece4fe89c9cc8ec9b8714;precision tooling;0;;;FALSE
fd8a90bfed0ac3e47dde6582e24a4d9c3e7e5217;palopti;0;;;FALSE
47eb649adec4a77c19f2653f79bf284eb2ceb17f;aivpack;0;;;FALSE
76e0d092c14e81b539ebbd359fda0db7a33ab165;pallet optimisation;0;;;FALSE
50a1dca141a6a365830688dd9e1fa0afe4b502d6;optimisation;0;;;FALSE
e14ec268d306e228d6835c02c5e1e03147a9dad5;combines;0;;;FALSE
fd7fb081046c7d4af0a878e9da15da0ceab884bb;decorators;0;;;FALSE
8c000a954c7566794d2471d9924a63e721dc8cc0;protective covering;0;;;FALSE
cb773c5ef68086bb43b15c933e8690eb96c38e8b;soft top transport;0;;;FALSE
300268607e357c0cce41a0e4b3f617e82da3338b;exceptional loads transport;0;;;FALSE
0633b4665c1d6c0dea4fc9f472cf0d5e51e94ed8;mechanical automation;0;;;FALSE
bea01cc7dd3fd43db328fd5823a3eec24a053824;energy concepts;0;;;FALSE
e6cd0cb9d16c517cc94d35d9e9ec0ffeee42eeb2;direct energy conversion;0;;;FALSE
ef9032709f8931378268c45d7bd13e5c3db9f73c;energy contracting;0;;;FALSE
eef3616087c938f4c4e31157c9032b0893bf9242;residential waterproofing;0;;;FALSE
07e27c3ec29a7d584164f80bf912b18fc6aae51f;civil decorations;0;;;FALSE
43ceacbab260024091c972cf4a961341946282ab;slaughter swines;0;;;FALSE
d027a483d32d24f5c85e0e13d40a4ec91de87755;interior cleaning;0;;;FALSE
866508c2794d0826443b6e51856584aa4e4c60fa;frozen products warehouse;0;;;FALSE
6e34004beb546924f6ed0be7a1ddd85520b1a8ff;goods lift repairs;0;;;FALSE
2a3f8883df3e0b53de1f9bbab9f5b7a76e11f525;infusional solutions;0;;;FALSE
d78cf19763dffe9c4cfb2f8b47c6b387360573ec;majolica coverings;0;;;FALSE
e0211b460a9f333de34a0232c80f49085366d8d3;robbery-prevention system;0;;;FALSE
8d8dc09ef2de43a7e11e13eca3c44d57fae8f2c7;advertising graphics;0;;;FALSE
be726febba6effdabb5384a2a3bbe59ed1ebc71f;promotional lettering;0;;;FALSE
035e0d0508e588eeca991cb9bede0a50584b5fac;pre shipment inspection;0;;;FALSE
49c4a38133986a99e6718ef1cc968528e53bc9c1;coach station;0;;;FALSE
8e2a883977889624341c9fecaf387db1c6a212d4;bus station;0;;;FALSE
cf116eca6500b7e41f7e12eebaa5d3898ecb8e90;left luggage service;0;;;FALSE
3d0c0f146c6f45a67a07db74e2ca58cfb3dd6419;taxi stand;0;;;FALSE
29c61bf8252599e0067cdaece814179703b3e7e4;urban bus stop;0;;;FALSE
410d5b771b4f42c71e63a2403b1a412156db99a9;bike hire station;0;;;FALSE
17e0d26956028f162a707ded55abe4de13390cb6;friction-resistant;0;;;FALSE
0e65d79b0f2d4513f4e22ff79a5c5bfd6897b2de;wear-resistant castings;0;;;FALSE
2fa6466bc27b2cca3f9f5721bca7f8b6af3375d3;video editing services;0;;;FALSE
b7856d3be483efbc46e6060ee7bfafbd919ca4d5;machine tools, special;0;;;FALSE
5b7e860e2806e3110b6b113248d893a51a61783e;fire fighting;0;;;FALSE
ce00319cecd3bf0ec6ae8bcbf94c321eb54af8b6;electric motor winding;0;;;FALSE
5e158d07c7485d0e368a260fbba3842eb5ecb897;lustering;0;;;FALSE
51361bbc5a361f42bb2b451d559c69031dec87f3;drybulk machines;0;;;FALSE
